OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
1,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Repulse,Operational,Hydroelectric - Gravity,Water,28,1,Ouse,Tasmania,5,146.646965,-42.507682
2,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Gordon,Operational,Hydroelectric - Gravity,Water,432,3,Southwest,Tasmania,5,145.9828373,-42.7405051
3,Power Station,A facility used for the generation of electrical power for distribution,Renewable,John Butters,Operational,Hydroelectric - Gravity,Water,144,1,Queenstown,Tasmania,4,145.5344821,-42.1548215
4,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tribute,Operational,Hydroelectric - Gravity,Water,82.8,1,West Coast,Tasmania,2,145.6538253,-41.8128572
5,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bastyan,Operational,Hydroelectric - Gravity,Water,79.9,1,Tullah,Tasmania,5,145.5321174,-41.7359699
6,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Reece,Operational,Hydroelectric - Gravity,Water,238,2,West Coast,Tasmania,5,145.1359538,-41.7237565
7,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mackintosh,Operational,Hydroelectric - Gravity,Water,79.9,1,Tullah,Tasmania,5,145.6461239,-41.6997366
8,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Cethana,Operational,Hydroelectric - Gravity,Water,85,1,Cethana,Tasmania,4,146.1349143,-41.4787249
9,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wilmot,Operational,Hydroelectric - Gravity,Water,81.6,1,Cethana,Tasmania,5,146.1250783,-41.4832989
10,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Devils Gate,Operational,Hydroelectric - Gravity,Water,60,1,Barrington,Tasmania,5,146.2631723,-41.350454
11,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Paloona,Operational,Hydroelectric - Gravity,Water,28,1,Paloona,Tasmania,5,146.2489694,-41.282603
12,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bell Bay (Bell Bay Three),Operational,Open Cycle Gas Turbine,Natural Gas,115,3,Bell Bay,Tasmania,5,146.9030027,-41.1428834
13,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Trevallyn,Operational,Hydroelectric - Gravity,Water,80,4,Trevallyn,Tasmania,5,147.1118772,-41.42262
14,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Poatina,Operational,Hydroelectric - Gravity,Water,100,6,Poatina,Tasmania,4,146.9191729,-41.8114714
15,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake Echo,Operational,Hydroelectric - Gravity,Water,32.4,1,Dee,Tasmania,5,146.6207044,-42.2536892
16,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Codrington Wind Farm,Operational,Wind Turbine,Wind,18.2,14,Codrington,Victoria,3,141.9547351,-38.2835029
17,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Yambuk Wind Farm,Operational,Wind Turbine,Wind,30,20,Yambuk,Victoria,3,142.0151374,-38.3079251
18,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Macarthur Wind Farm,Operational,Wind Turbine,Wind,420,140,Gerrigerrup,Victoria,5,142.1864846,-38.0064337
19,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mortlake,Operational,Open Cycle Gas Turbine,Natural Gas,566,2,Mortlake,Victoria,5,142.6674852,-38.063156
20,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mt Mercer Wind Farm,Operational,Wind Turbine,Wind,131,0,Mount Mercer,Victoria,3,143.8891999,-37.8316866
21,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Waubra Wind Farm,Operational,Wind Turbine,Wind,192,128,Waubra,Victoria,2,143.6037364,-37.3574489
22,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Challicum Hills Wind Farm,Operational,Wind Turbine,Wind,52.5,35,Ballyrogan,Victoria,5,143.1139774,-37.3897757
23,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Shepparton Biogas Generation Plant,Operational,Spark Ignition Reciprocating Engine,Biogas,1.1,0,Shepparton North,Victoria,4,145.3789894,-36.321762
24,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Dartmouth (Mount Beauty Hydro Scheme),Operational,Hydroelectric - Gravity,Water,150,1,Dartmouth,Victoria,4,147.5205856,-36.5564164
25,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Banimboola,Operational,Hydroelectric - Gravity,Water,12.9,2,Mitta Mitta,Victoria,2,147.4593838,-36.5343838
26,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake William Hovell,Operational,Hydroelectric - Gravity,Water,2,1,Cheshunt South,Victoria,4,146.3921118,-36.9129238
27,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Eildon,Operational,Hydroelectric - Gravity,Water,120,4,Eildon,Victoria,5,145.9214582,-37.2219922
28,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Laverton North,Operational,Open Cycle Gas Turbine,Natural Gas,312,2,Laverton North,Victoria,5,144.788717,-37.8415668
29,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Newport,Operational,Steam Subcritical,Natural Gas,500,1,Newport,Victoria,5,144.8942029,-37.8414488
30,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Claytons,Operational,Spark Ignition Reciprocating Engine,Biogas,11,11,Clayton South,Victoria,5,145.1187279,-37.9501868
31,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Springvale,Operational,Spark Ignition Reciprocating Engine,Biogas,4.2,6,Springvale South,Victoria,4,145.1396409,-37.9732839
32,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hallam Road,Operational,Spark Ignition Reciprocating Engine,Biogas,9,2,Hampton Park,Victoria,4,145.2699555,-38.0534396
33,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Yallourn,Operational,Steam Subcritical,Coal,1480,4,Yallourn,Victoria,5,146.3427887,-38.1770019
34,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Jeeralang B,Operational,Open Cycle Gas Turbine,Natural Gas,228,3,Hazelwood North,Victoria,5,146.4249286,-38.2746129
35,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Jeeralang A,Operational,Open Cycle Gas Turbine,Natural Gas,204,4,Hazelwood North,Victoria,5,146.4263016,-38.2753119
36,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Loy Yang A,Operational,Steam Subcritical,Coal,2180,4,Loy Yang,Victoria,5,146.5745746,-38.253587
37,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Loy Yang B,Operational,Steam Subcritical,Coal,1000,2,Loy Yang,Victoria,5,146.5863756,-38.256434
38,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Valley Power (Peaking Facility),Operational,Open Cycle Gas Turbine,Natural Gas,300,6,Loy Yang,Victoria,5,146.5891716,-38.253609
39,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bairnsdale,Operational,Open Cycle Gas Turbine,Natural Gas,94,2,Hillside (East Gippsland),Victoria,5,147.563935,-37.8428465
40,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Yarrawonga,Operational,Hydroelectric - Gravity,Water,9,2,Yarrawonga,Victoria,5,145.9994675,-36.0093967
41,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hume,Operational,Hydroelectric - Gravity,Water,70,2,Lake Hume Village,New South Wales,5,147.0326281,-36.1066055
42,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Canunda Wind Farm,Operational,Wind Turbine,Wind,46,23,German Flat,South Australia,2,140.403318,-37.7602399
43,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Snuggery,Operational,Open Cycle Gas Turbine,Natural Gas,63,3,Millicent,South Australia,5,140.4155643,-37.6645372
44,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Dry Creek,Operational,Open Cycle Gas Turbine,Natural Gas,156,3,Dry Creek,South Australia,5,138.5817653,-34.8474495
45,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Torrens Island A,Operational,Steam Subcritical,Natural Gas,480,4,Torrens Island,South Australia,5,138.5213293,-34.8068305
46,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Torrens Island B,Operational,Steam Subcritical,Natural Gas,800,4,Torrens Island,South Australia,5,138.5226273,-34.8051575
47,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Osborne,Operational,Combined Cycle Gas Turbine,Natural Gas,180,2,Osborne,South Australia,4,138.5078913,-34.7980075
48,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Pelican Point,Operational,Combined Cycle Gas Turbine,Natural Gas,478,3,Outer Harbor,South Australia,5,138.5053323,-34.7649585
49,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Quarantine,Operational,Open Cycle Gas Turbine,Natural Gas,224,5,Torrens Island,South Australia,3,138.5223593,-34.7792705
50,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Angaston,Operational,Compression Reciprocating Engine,Distillate,50,30,Angaston,South Australia,4,139.0245774,-34.5034291
51,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Waterloo Wind Farm,Operational,Wind Turbine,Wind,111,37,Tothill Belt,South Australia,3,138.9109388,-34.0010113
52,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wattle Point Wind Farm,Operational,Wind Turbine,Wind,90.8,55,Edithburgh,South Australia,5,137.7057851,-35.1103369
53,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mintaro,Operational,Open Cycle Gas Turbine,Natural Gas,90,1,Stanley,South Australia,5,138.7383073,-33.9030865
54,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hallett 1 Brown Hill  Wind Farm,Operational,Wind Turbine,Wind,94.5,45,Canowie,South Australia,2,138.732339,-33.33972
55,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Hallett,Operational,Open Cycle Gas Turbine,Natural Gas,228.3,12,Canowie,South Australia,5,138.7516663,-33.3486385
56,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Hallett 2 Hallet Hill  Wind Farm,Operational,Wind Turbine,Wind,71.4,34,North Booborowie,South Australia,2,138.8551671,-33.5225889
57,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Port Lincoln,Operational,Open Cycle Gas Turbine,Distillate,73.5,3,Hawson,South Australia,4,135.8044315,-34.7003208
58,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Cathedral Rocks Wind Farm,Operational,Wind Turbine,Wind,66,33,Sleaford,South Australia,2,135.5851797,-34.8508474
59,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Channel Island,Operational,Gas Turbine,Natural Gas,310,9,Channel Island,Northern Territory,5,130.8665957,-12.5549791
60,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Weddell,Operational,Open Cycle Gas Turbine,Natural Gas,86,2,Wickham,Northern Territory,4,130.9502323,-12.5771183
61,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Ord River,Operational,Hydroelectric - Gravity,Water,30,4,Lake Argyle,Western Australia,4,128.7383338,-16.1201181
62,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Muja D,Operational,Steam Subcritical,Coal,454,2,Muja,Western Australia,4,116.3074391,-33.446344
63,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kemerton,Operational,Open Cycle Gas Turbine,Natural Gas,260.9,2,Wellesley,Western Australia,4,115.7805508,-33.1632366
64,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Pinjar,Operational,Gas Turbine,Natural Gas,576,9,Pinjar,Western Australia,4,115.8204137,-31.5567846
65,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Emu Downs Wind Farm,Operational,Wind Turbine,Wind,79.2,48,Badgingarra,Western Australia,2,115.3767646,-30.4881776
66,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Collie A,Operational,Steam Subcritical,Coal,340,1,Palmer,Western Australia,5,116.2611758,-33.3421676
67,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Collie (Bluewaters),Operational,Steam Subcritical,Coal,416,2,Palmer,Western Australia,5,116.2290108,-33.3309866
68,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Wagerup,Operational,Gas Turbine,Natural Gas,380,4,Wagerup,Western Australia,5,115.9186578,-32.9160036
69,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana Cogeneration,Operational,Cogeneration,Natural Gas,123,2,Kwinana Beach,Western Australia,5,115.7661317,-32.2225186
70,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana High Efficiency Gas Turbine Plant,Operational,Gas Turbine,Natural Gas,200,2,Naval Base,Western Australia,5,115.7753876,-32.197282
71,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana A,Non-Operational,Steam Subcritical,Coal,240,2,Naval Base,Western Australia,5,115.7751629,-32.1979395
72,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kwinana C,Non-Operational,Steam Subcritical,Coal,184,2,Naval Base,Western Australia,5,115.7747129,-32.199216
73,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Cockburn,Operational,Combined Cycle Gas Turbine,Natural Gas,240,2,Naval Base,Western Australia,5,115.7736897,-32.2001056
74,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kalgoorlie (Parkeston),Operational,Open Cycle,Natural Gas,110,3,Parkeston,Western Australia,5,121.5065528,-30.7377964
75,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Collgar Wind Farm,Operational,Wind Turbine,Wind,206,111,Norpa,Western Australia,2,118.4565788,-31.5431639
76,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Merredin,Operational,Open Cycle Gas Turbine,Gas,82,2,Merredin,Western Australia,3,118.2270082,-31.5423003
77,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mungarra,Operational,Gas Turbine,Natural Gas,112,3,West Casuarinas,Western Australia,5,115.1177094,-28.8892979
78,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Geraldton,Operational,,Natural Gas,21,1,Woorree,Western Australia,5,114.6484926,-28.7700937
79,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Paraburdoo,Operational,,Natural Gas,155,4,Innawanga,Western Australia,5,117.6132769,-23.2232466
80,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Dampier,Operational,Steam Turbine,Natural Gas,120,3,Burrup,Western Australia,4,116.7219139,-20.6479715
81,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Yurralyi Maya (Karratha Seven Mile),Operational,,Natural Gas,180,4,Maitland,Western Australia,4,116.7420099,-20.7619865
82,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wonthaggi Wind Farm,Operational,Wind Turbine,Wind,12,6,Wonthaggi,Victoria,5,145.5485427,-38.6075205
83,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Walkaway Wind Farm,Operational,Wind Turbine,Wind,90,54,Walkaway,Western Australia,5,114.9281689,-28.9228378
84,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Cullerin Range Wind Farm,Operational,Wind Turbine,Wind,30,15,Breadalbane,New South Wales,5,149.4001352,-34.8049688
85,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Snowtown Wind Farm North,Operational,Wind Turbine,Wind,148,47,Wokurna,South Australia,5,138.1401809,-33.7139424
86,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Cape Bridgewater Wind Farm,Operational,Wind Turbine,Wind,58,29,Cape Bridgewater,Victoria,5,141.3850505,-38.3576416
87,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Barcaldine (Len Wishaw),Operational,Combined Cycle Gas Turbine,Natural Gas,37,1,Barcaldine,Queensland,5,145.3141933,-23.5524386
88,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bluff Point (Woolnorth) Wind Farm,Operational,Wind Turbine,Wind,65,37,Woolnorth,Tasmania,5,144.6909558,-40.7194481
89,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Studland Bay (Woolnorth) Wind Farm,Operational,Wind Turbine,Wind,75,25,Woolnorth,Tasmania,5,144.7369213,-40.7817797
90,Power Station,A facility used for the generation of electrical power for distribution,Renewable,The Drop,Operational,Hydroelectric - Gravity,Water,3,1,Berrigan,New South Wales,3,145.783731,-35.6043339
91,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Pindari,Operational,Hydroelectric - Gravity,Water,6.7,2,Pindaroi,New South Wales,5,151.2449218,-29.3892224
92,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Nieterana,Operational,Hydroelectric - Gravity,Water,2.2,1,Butlers Gorge,Tasmania,4,146.2628882,-42.2685737
93,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Oakland Hills Wind Farm,Operational,Wind Turbine,Wind,67,32,Glenthompson,Victoria,3,142.5467312,-37.6870462
94,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tatura Biogas Generation Plant,Operational,Spark Ignition Reciprocating Engine,Biogas,1.1,0,Tatura,Victoria,5,145.235032,-36.4792478
95,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Jindabyne Dam Mini Hydro,Operational,Hydroelectric - Gravity,Water,1.1,1,Jindabyne,New South Wales,5,148.6332556,-36.4351368
96,Power Station,A facility used for the generation of electrical power for distribution,Renewable,North Brown Hill  Wind Farm,Operational,Wind Turbine,Wind,132.3,63,Belalie East,South Australia,3,138.7296029,-33.3092464
97,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Clements Gap Wind Farm,Operational,Wind Turbine,Wind,57,27,Clements Gap,South Australia,3,138.1308182,-33.5086374
98,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wyangala A,Operational,Hydroelectric - Gravity,Water,20,1,Wyangala,New South Wales,3,148.9473117,-33.9809761
99,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Blayney Wind Farm,Operational,Wind Turbine,Wind,9.9,15,Carcoar,New South Wales,5,149.1982158,-33.6218771
100,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Woodlawn Wind Farm,Operational,Wind Turbine,Wind,48,23,Tarago,New South Wales,3,149.5716113,-35.0860469
101,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Woodlawn Bioreactor,Operational,Spark Ignition Reciprocating Engine,Biogas,7,7,Tarago,New South Wales,5,149.5769105,-35.0589896
102,Power Station,A facility used for the generation of electrical power for distribution,Renewable,West Nowra (Shoalhaven),Operational,Compression Reciprocating Engine,Biogas,1,1,Mundamia,New South Wales,4,150.5514904,-34.8819653
103,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tumut 3,Operational,Hydroelectric - Gravity,Water,1500,6,Talbingo,New South Wales,5,148.2916902,-35.6112048
104,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Summerhill,Operational,Spark Ignition Reciprocating Engine,Biogas,2.2,2,Wallsend,New South Wales,4,151.6429595,-32.8885204
105,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mugga Lane,Operational,Spark Ignition Reciprocating Engine,Biogas,3.5,3,ACT Remainder - Jerrabomberra,Australian Capital Territory,5,149.1458255,-35.3952911
106,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lucas Heights II,Operational,Spark Ignition Reciprocating Engine,Biogas,16,11,Lucas Heights,New South Wales,5,150.9738874,-34.0481333
107,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lucas Heights I,Operational,Spark Ignition Reciprocating Engine,Biogas,5.4,5,Barden Ridge,New South Wales,5,151.0020774,-34.0292893
108,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Jounama,Operational,Hydroelectric - Gravity,Water,14,1,Blowering,New South Wales,5,148.3055222,-35.5619522
109,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Jacks Gully,Operational,Spark Ignition Reciprocating Engine,Biogas,2.3,2,Spring Farm,New South Wales,5,150.7426945,-34.0734273
110,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Gunning,Operational,Wind Turbine,Wind,47,31,Gurrundah,New South Wales,3,149.3833973,-34.6970958
111,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Grange Avenue,Operational,Spark Ignition Reciprocating Engine,Biogas,2,1,Marsden Park,New South Wales,5,150.8312385,-33.7029253
112,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Esperance Wind Farm Nine Mile Beach,Operational,Wind Turbine,Wind,3.6,6,Dalyup,Western Australia,5,121.7777899,-33.8926964
113,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Eastern Creek 2,Operational,Spark Ignition Reciprocating Engine,Biogas,9,7,Eastern Creek,New South Wales,3,150.8616885,-33.8125023
114,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Eastern Creek,Operational,Spark Ignition Reciprocating Engine,Biogas,5.4,4,Eastern Creek,New South Wales,4,150.8537072,-33.8141442
115,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Crookwell Wind Farm,Operational,Wind Turbine,Wind,4.8,8,Pejar,New South Wales,5,149.5439418,-34.5136033
116,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Capital Hill Wind Farm,Operational,Wind Turbine,Wind,140,67,Tarago,New South Wales,5,149.522643,-35.159504
117,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Burrinjuck Power Station,Operational,Hydroelectric - Gravity,Water,27,3,Burrinjuck,New South Wales,4,148.5833987,-35.0025071
118,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Awaba,Non-Operational,Spark Ignition Reciprocating Engine,Biogas,1.1,1,Awaba,New South Wales,1,151.5497245,-33.0250173
119,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Windy Hill Wind Farm,Operational,Wind Turbine,Wind,12,20,Ravenshoe,Queensland,5,145.5306077,-17.5921867
120,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Starfish Hill Wind Farm,Operational,Wind Turbine,Wind,34.5,23,Cape Jervis,South Australia,5,138.1318715,-35.5762223
121,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Pioneer Sugar Mill,Operational,Cogeneration - Steam Subcritical,Biomass,67.8,2,Brandon,Queensland,4,147.3308084,-19.5574519
122,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Moranbah North,Operational,Spark Ignition Reciprocating Engine,Natural Gas,45.7,15,Moranbah,Queensland,5,147.9506625,-21.8966422
123,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Koombooloomba,Operational,Hydroelectric - Gravity,Water,7.3,1,Koombooloomba,Queensland,5,145.6033696,-17.8312707
124,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Invicta Sugar Mill,Operational,Cogeneration - Steam Subcritical,Biomass,150,3,Giru,Queensland,4,147.1065334,-19.5166839
125,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wivenhoe,Operational,Hydroelectric - Pumped Storage,Water,4.7,1,Lake Wivenhoe,Queensland,5,152.6091591,-27.3951994
126,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Terminal Storage,Operational,Hydroelectric - Gravity,Water,2.5,1,Hope Valley,South Australia,3,138.7112332,-34.8393095
127,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Suncoast Gold Macadamia,Operational,Steam Subcritical,Biomass,1.5,1,Glanmire,Queensland,5,152.6981082,-26.2261124
128,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Rocky Point Sugar Sugar Mill,Operational,Cogeneration - Steam Subcritical,Biomass,30,1,Steiglitz,Queensland,5,153.327613,-27.7334365
129,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mount Millar Wind Farm,Operational,Wind Turbine,Wind,70,35,Cowell,South Australia,4,136.7039034,-33.6254961
130,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake Bonney Stage 2 Wind Farm,Operational,Wind Turbine,Wind,159,53,German Flat,South Australia,3,140.4195058,-37.8148806
131,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Albany Wind Farm,Operational,Wind Turbine,Wind,21.6,12,Sandpatch,Western Australia,5,117.7977056,-35.0641335
132,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wyndham,Operational,Spark Ignition Reciprocating Engine,Biogas,1,1,Werribee,Victoria,3,144.590185,-37.9374748
133,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wollert,Operational,Spark Ignition Reciprocating Engine,Biogas,6.7,2,Wollert,Victoria,5,145.0487099,-37.5829438
134,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Whitwood Road,Operational,Spark Ignition Reciprocating Engine,Biogas,1,1,Swanbank,Queensland,3,152.823749,-27.6590014
135,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Toora Wind Farm,Operational,Wind Turbine,Wind,21,12,Toora,Victoria,5,146.3403424,-38.6531371
136,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Ti Tree Bioenergy,Operational,Compression Reciprocating Engine,Biogas,3.3,0,Willowbank,Queensland,5,152.659301,-27.6801514
137,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Roghan Road,Operational,Spark Ignition Reciprocating Engine,Biogas,2,1,Fitzgibbon,Queensland,4,153.0343561,-27.3387554
138,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Rochedale,Operational,Compression Reciprocating Engine,Biogas,4,4,Rochedale,Queensland,5,153.12364,-27.5591045
139,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Plane Creek Sugar Mill,Operational,Steam Subcritical,Biomass,14,2,Sarina,Queensland,4,149.2159191,-21.42821
140,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Browns Plains,Operational,Spark Ignition Reciprocating Engine,Biogas,2.2,2,Heritage Park,Queensland,5,153.066352,-27.6721185
141,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Brooklyn,Operational,Spark Ignition Reciprocating Engine,Biogas,2.8,2,Brooklyn,Victoria,5,144.831882,-37.8179538
142,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Berwick,Operational,Cogeneration - Spark Ignition Reciprocating,Biogas,7.2,2,Cranbourne,Victoria,3,145.2664669,-38.1196889
143,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Broadmeadows,Operational,Spark Ignition Reciprocating Engine,Biogas,12.2,7,Campbellfield,Victoria,5,144.966325,-37.6877728
144,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Energy Brix,Decommissioned,Steam Subcritical,Coal,195,5,Morwell,Victoria,5,146.4137276,-38.2545469
145,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake Glenmaggie,Operational,Hydroelectric - Gravity,Water,4,2,Glenmaggie,Victoria,3,146.8010906,-37.904732
146,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Hazelwood,Decommissioned,Steam Subcritical,Coal,1600,8,Hazelwood,Victoria,5,146.3922686,-38.2730899
