OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
234,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Muja C,Operational,Steam Subcritical,Coal,400,2,Muja,Western Australia,5,116.3061941,-33.4460332
235,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Worsley Cogeneration,Operational,,Natural Gas,106,2,Worsley,Western Australia,5,116.0637485,-33.2365325
236,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Laverton (Granny Smith Gold Mine),Operational,,Distillate,30.6,10,Laverton,Western Australia,4,122.4150386,-28.8096353
237,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Argyle Diamond Mine,Operational,,Distillate,32,0,Lake Argyle,Western Australia,5,128.4030888,-16.7161431
238,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Christmas Creek Iron Ore Mine,Operational,Spark Ignition Reciprocating Engine,Distillate,58,0,Newman,Western Australia,2,119.7302608,-22.4069814
239,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Jundee Gold Mine,Operational,Spark Ignition Reciprocating Engine,Natural Gas,21,6,Wiluna,Western Australia,4,120.5776228,-26.3711984
240,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Murrin Murrin (Nickel Mine),Operational,,Natural Gas,78,3,Leonora,Western Australia,3,121.3292998,-28.9237404
241,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Plutonic Gold Mine,Operational,,Natural Gas,28,4,Kumarina,Western Australia,4,119.4507668,-25.3109884
242,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Sunrise Dam,Operational,Spark Ignition Reciprocating Engine,Natural Gas,28.4,24,Laverton,Western Australia,4,122.4392942,-29.0926698
243,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Wiluna Gold Mine,Operational,,Natural Gas,21,3,Wiluna,Western Australia,3,120.2518938,-26.6315544
244,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Paraburdoo (Standby),Operational,,Natural Gas,20,3,Innawanga,Western Australia,4,117.6136844,-23.22381
245,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Telfer Gold Mine,Operational,,Natural Gas,159,3,Telfer,Western Australia,5,122.2091124,-21.7128973
246,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Amcor Gawler,Operational,Compression Reciprocating Engine,Distillate,4,0,Kingsford,South Australia,5,138.7658712,-34.5508435
247,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Lonsdale,Operational,Compression Reciprocating Engine,Distillate,20,18,Lonsdale,South Australia,5,138.4910141,-35.109655
248,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Pedler Creek,Operational,Spark Ignition Reciprocating Engine,Biogas,3,3,McLaren Vale,South Australia,5,138.5021012,-35.2023075
249,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wingfield I,Operational,Spark Ignition Reciprocating Engine,Biogas,5,5,Wingfield,South Australia,5,138.5572543,-34.8348065
250,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wingfield II,Operational,Spark Ignition Reciprocating Engine,Biogas,5,5,Dry Creek,South Australia,3,138.5489103,-34.8320675
251,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Ladbroke Grove,Operational,Open Cycle Gas Turbine,Natural Gas,80,2,Monbulla,South Australia,5,140.7826987,-37.4566596
252,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Playford B,Decommissioned,Steam Subcritical,Coal,240,4,Port Paterson,South Australia,5,137.7818875,-32.5392654
253,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Northern,Decommissioned,Steam Subcritical,Coal,530,2,Port Paterson,South Australia,5,137.7882117,-32.5432406
254,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Berrimah,Operational,Gas Turbine,Natural Gas,10,1,Berrimah,Northern Territory,5,130.9194847,-12.4261621
255,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Landfill Management Services Shoal Bay,Operational,,Biogas,1.1,1,Holmes,Northern Territory,5,130.9254167,-12.3891601
256,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Tennant Creek,Operational,Open Cycle Gas Turbine,Natural Gas,16.7,0,Tennant Creek,Northern Territory,5,134.1752934,-19.6549162
257,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Ron Goodin,Operational,Open Cycle Gas Turbine,Natural Gas,44.6,0,Sadadeen,Northern Territory,5,133.8911833,-23.7090952
