Location,postcode,state_code,state_name,LGA_NAME25,latitude,longitude,accuracy,geometry,MaxTemp_mean,MaxTemp_std,MinTemp_mean,MinTemp_std,Rainfall_mean,Rainfall_std,Humidity_mean,Sunshine_mean,WindGustSpeed_mean
Mount Gambier,5290.0,SA,South Australia,Mount Gambier,-37.8318,140.7792,4,POINT (777025.0007518752 -4162620.7803491578),19.8281280950809,6.3690592151507,8.8274678111588,4.00238925828131,2.08735936465917,5.18555709248237,57.3155629139073,6.51116673084328,42.8690994308671
Newcastle,2300.0,NSW,New South Wales,Newcastle,-32.9271,151.7765,4,POINT (1828776.684276319 -3732816.648754722),24.098282647585,5.35102769639205,13.7402397901836,5.0040035787899,3.15302150904746,10.862951458917,57.3454545454545,0,0
Norah Head,2263.0,NSW,New South Wales,Central Coast (NSW),-33.2833,151.5667,4,POINT (1803459.3520962268 -3769147.6137837716),22.6079001367989,4.33706931051228,15.3751969852689,4.14383793414342,3.38247922437673,9.40136761360545,67.5389365351629,0,42.2150427350427
Norfolk Island,2899.0,NSW,New South Wales,Narromine,-32.309,148.084,1,POINT (1498013.5040153987 -3616317.828146896),21.7927462887989,2.70220682336432,16.8399595005062,2.76104306557739,3.13756793478261,9.71137338465116,67.8406482106685,7.02175097276265,42.6399726214921
Nuriootpa,5355.0,SA,South Australia,Barossa,-34.4682,138.9977,4,POINT (639946.8536304447 -3780449.7526024873),21.7146577629382,7.59072462782616,9.36643263122702,5.14912045079361,1.38137516688919,4.38305512153736,45.3663432586149,7.67588752196837,40.6607202961966
Penrith,2750.0,NSW,New South Wales,Penrith,-33.75,150.7,4,POINT (1716563.5220057166 -3808711.84629321),24.731983805668,6.17848345125369,12.5336492890995,5.52153053463052,2.13514256269323,7.19944430167111,48.9559532002753,0,31.794386202232
Perth,7300.0,TAS,Tasmania,Northern Midlands,-41.5723,147.171,4,POINT (1292140.7895761665 -4622171.120909737),25.0348370927318,6.11545417193322,12.9227059191982,5.08781727813188,1.90629502035703,5.78995011985244,46.9061224489796,8.78453575909661,34.8829987452949
Perth,6000.0,WA,Western Australia,Perth,-31.9522,115.8614,4,POINT (-1508100.1518464473 -3577365.4056819063),25.0348370927318,6.11545417193322,12.9227059191982,5.08781727813188,1.90629502035703,5.78995011985244,46.9061224489796,8.78453575909661,34.8829987452949
Perth Airport,6105.0,WA,Western Australia,Belmont,-31.9321,115.9564,4,POINT (-1499551.248026251 -3574015.995369599),25.533233632436,6.37544576655829,12.5803589232303,5.09356894053495,1.76164838816883,5.37519217320966,41.923204787234,8.79530625832224,44.201822477219
Portland,2847.0,NSW,New South Wales,Lithgow,-33.3571,149.9815,4,POINT (1657204.9516017232 -3755828.2548923003),18.0556260434057,5.22273985473493,9.58553732842317,3.58823686629468,2.53103217158177,5.52835273986717,65.9758632249413,6.49675146771037,42.0588829071332
Portland,3305.0,VIC,Victoria,Glenelg,-38.3462,141.6026,4,POINT (845513.6051501827 -4224393.883466648),18.0556260434057,5.22273985473493,9.58553732842317,3.58823686629468,2.53103217158177,5.52835273986717,65.9758632249413,6.49675146771037,42.0588829071332
Richmond,2753.0,NSW,New South Wales,Hawkesbury,-33.5996,150.7514,4,POINT (1723702.0500620147 -3792803.1613552105),24.4498132427844,6.02518949270398,11.346070091868,6.11900092035417,2.15258086717137,7.38132326184594,49.0044750430293,0,34.8603542234332
Richmond,4740.0,QLD,Queensland,Mackay,-21.2395,149.0527,3,POINT (1752706.6464884095 -2399271.7229449884),24.4498132427844,6.02518949270398,11.346070091868,6.11900092035417,2.15258086717137,7.38132326184594,49.0044750430293,0,34.8603542234332
Richmond,5033.0,SA,South Australia,West Torrens,-34.942,138.5632,4,POINT (597538.8936291138 -3831018.7629768313),24.4498132427844,6.02518949270398,11.346070091868,6.11900092035417,2.15258086717137,7.38132326184594,49.0044750430293,0,34.8603542234332
Richmond,7025.0,TAS,Tasmania,Clarence,-42.7355,147.4383,4,POINT (1299631.2111763298 -4749789.513732649),24.4498132427844,6.02518949270398,11.346070091868,6.11900092035417,2.15258086717137,7.38132326184594,49.0044750430293,0,34.8603542234332
Richmond,3121.0,VIC,Victoria,Yarra,-37.8182,145.0018,4,POINT (1149828.3741015322 -4192971.9587825127),24.4498132427844,6.02518949270398,11.346070091868,6.11900092035417,2.15258086717137,7.38132326184594,49.0044750430293,0,34.8603542234332
Sale,3850.0,VIC,Victoria,Wellington,-38.111,147.068,4,POINT (1327966.6038182857 -4245099.123103152),20.2710236745582,5.8291929383619,8.56122040680227,4.91173527449395,1.51266711229947,4.46504271627822,56.3715242881072,6.68366336633663,42.4745289602233
Salmon Gums,6445.0,WA,Western Australia,Esperance,-32.9833,121.6333,4,POINT (-960906.193418964 -3636272.8921785476),24.2492036597763,6.7588394257133,9.30257801899593,5.48614939868158,1.03230193811629,3.67099364275245,40.7513550135501,0,39.7610862839464
Sydney,1001.0,NSW,New South Wales,Sydney,-33.8678,151.2073,4,POINT (1760816.2703238665 -3828611.550261052),23.0023388305847,4.49463793570759,14.8650569886023,4.55364132389479,3.33023116181327,9.89517226483462,54.6991576413959,7.17937368262571,41.761408083442
Sydney Airport,2020.0,NSW,New South Wales,Bayside (NSW),-33.939,151.1862,3,POINT (1757708.5046735033 -3836171.970357729),23.3789018302829,5.10075000281576,14.8940412782956,4.63884994915511,2.99533488837054,9.19148182990529,53.8783738753749,7.19812646370023,47.2220717670955
Townsville,4810.0,QLD,Queensland,Townsville,-19.2664,146.8057,4,POINT (1548256.1987062942 -2152393.510885268),29.3629739531817,2.76899246169962,20.4112504124051,4.56014468970759,3.48860257680872,14.9992874559654,57.3887240356083,8.46062691131498,38.8040518100299
Tuggeranong,2900.0,ACT,Australian Capital Territory,Unincorporated ACT,-35.4158,149.0649,3,POINT (1542702.7813102992 -3971540.2549796565),20.7774441107774,6.963952943175,7.24561227894561,6.34988395974492,2.15904021628929,7.63895738548082,47.1416136591898,0,35.1896147403685
Wagga Wagga,2650.0,NSW,New South Wales,Wagga Wagga,-35.1258,147.3537,4,POINT (1392659.4662340335 -3919898.7816606318),22.9612903225806,7.89482716816399,9.56202956989247,6.53836022259938,1.70608519269777,5.92120537873352,42.661626344086,8.1978640776699,36.5661465400271
Walpole,6398.0,WA,Western Australia,Manjimup,-34.976,116.7302,4,POINT (-1387072.5981365473 -3902442.230021763),20.5668207681366,4.5330720509408,11.915710723192,3.21113957591666,2.8773285198556,6.33201625404388,66.2405745062837,0,39.7530509691314
Watsonia,3087.0,VIC,Victoria,Banyule,-37.7167,145.0833,4,POINT (1158155.6652451681 -4182567.3076621923),20.8835278426142,6.72457845484796,10.1262278650184,4.54429076759103,1.84769230769231,5.42359808784187,54.7322440813605,6.37815210140093,38.0572969329289
Williamtown,2318.0,NSW,New South Wales,Port Stephens,-32.8064,151.8436,4,POINT (1837018.0422063735 -3720454.6629950465),24.1470196078431,5.40885142469391,12.8203761755486,5.14297885022768,3.51098484848485,11.874382923277,53.4296936370778,7.140044411547,41.7536945812808
Witchcliffe,6286.0,WA,Western Australia,Augusta Margaret River,-34.0333,115.1,4,POINT (-1548182.2221396917 -3817002.174803797),21.6994231421785,5.12773196501181,10.7568614130435,3.91712921117441,2.89965800273598,7.35178045787467,57.641044501655,0,39.9802586793737
Wollongong,2500.0,NSW,New South Wales,Wollongong,-34.424,150.8934,4,POINT (1723116.278349279 -3885641.3397179097),21.4765100671141,4.03065359635331,14.9490578734859,3.81722289499922,3.58912674142032,11.8657957216816,65.1969645868465,0,45.6952573158426
Woomera,5720.0,SA,South Australia,Unincorporated SA,-31.1998,136.8326,4,POINT (455871.37387100095 -3406383.5487947217),26.5421352074967,7.92882012299504,13.3138981915606,6.17003493212709,0.489946380697051,2.73538896618368,28.3643724696356,9.06300549176236,44.0809620596206
